t; U;
0; 0;
0.01; 6.3446e-07;
0.02; 1.88895e-06;
0.03; 3.7763e-06;
0.04; 6.40558e-06;
0.05; 1.0945e-05;
0.06; 2.86778e-05;
0.07; 0.000160214;
0.08; 0.00115243;
0.09; 0.00602411;
0.1; 0.0184691;
0.11; 0.0389809;
0.12; 0.0659763;
0.13; 0.0974442;
0.14; 0.131563;
0.15; 0.166847;
0.16; 0.202135;
0.17; 0.236537;
0.18; 0.269378;
0.19; 0.30015;
0.2; 0.328475;
0.21; 0.354076;
0.22; 0.37676;
0.23; 0.396404;
0.24; 0.412956;
0.25; 0.426431;
0.26; 0.436925;
0.27; 0.44463;
0.28; 0.449857;
0.29; 0.45305;
0.3; 0.454761;
0.31; 0.455549;
0.32; 0.455862;
0.33; 0.45597;
0.34; 0.456004;
0.35; 0.456016;
0.36; 0.456021;
0.37; 0.456024;
0.38; 0.456026;
0.39; 0.456028;
0.4; 0.456029;
0.41; 0.45603;
0.42; 0.45603;
0.43; 0.45603;
0.44; 0.456029;
0.45; 0.456028;
0.46; 0.456026;
0.47; 0.456023;
0.48; 0.45602;
0.49; 0.456016;
0.5; 0.456011;
0.51; 0.456006;
0.52; 0.456;
0.53; 0.455994;
0.54; 0.455987;
0.55; 0.455979;
0.56; 0.455971;
0.57; 0.455962;
0.58; 0.455952;
0.59; 0.455943;
0.6; 0.455932;
0.61; 0.455921;
0.62; 0.45591;
0.63; 0.455898;
0.64; 0.455886;
0.65; 0.455873;
0.66; 0.45586;
0.67; 0.455847;
0.68; 0.455833;
0.69; 0.455819;
0.7; 0.455805;
0.71; 0.455791;
0.72; 0.455777;
0.73; 0.455762;
0.74; 0.455748;
0.75; 0.455733;
0.76; 0.455718;
0.77; 0.455704;
0.78; 0.45569;
0.79; 0.455675;
0.8; 0.455661;
0.81; 0.455647;
0.82; 0.455634;
0.83; 0.455621;
0.84; 0.455608;
0.85; 0.455595;
0.86; 0.455583;
0.87; 0.455571;
0.88; 0.455559;
0.89; 0.455548;
0.9; 0.455538;
0.91; 0.455528;
0.92; 0.455519;
0.93; 0.45551;
0.94; 0.455502;
0.95; 0.455494;
0.96; 0.455487;
0.97; 0.455481;
0.98; 0.455475;
0.99; 0.45547;
1; 0.455465;
1.01; 0.455461;
1.02; 0.455458;
1.03; 0.455455;
1.04; 0.455453;
1.05; 0.455452;
1.06; 0.455451;
1.07; 0.45545;
1.08; 0.455451;
1.09; 0.455451;
1.1; 0.455453;
1.11; 0.455455;
1.12; 0.455457;
1.13; 0.45546;
1.14; 0.455465;
1.15; 0.455477;
1.16; 0.455512;
1.17; 0.455621;
1.18; 0.455933;
1.19; 0.45669;
1.2; 0.458212;
1.21; 0.460722;
1.22; 0.46418;
1.23; 0.468282;
1.24; 0.472579;
1.25; 0.476625;
1.26; 0.480066;
1.27; 0.482702;
1.28; 0.484502;
1.29; 0.485581;
1.3; 0.486143;
1.31; 0.486397;
1.32; 0.486497;
1.33; 0.486533;
1.34; 0.486546;
1.35; 0.486552;
1.36; 0.486555;
1.37; 0.486558;
1.38; 0.48656;
1.39; 0.486561;
1.4; 0.486562;
1.41; 0.486563;
1.42; 0.486563;
1.43; 0.486562;
1.44; 0.486561;
1.45; 0.486559;
1.46; 0.486557;
1.47; 0.486554;
1.48; 0.48655;
1.49; 0.486546;
1.5; 0.486541;
1.51; 0.486536;
1.52; 0.48653;
1.53; 0.486523;
1.54; 0.486516;
1.55; 0.486508;
1.56; 0.486499;
1.57; 0.48649;
1.58; 0.48648;
1.59; 0.48647;
1.6; 0.486459;
1.61; 0.486448;
1.62; 0.486436;
1.63; 0.486424;
1.64; 0.486412;
1.65; 0.486399;
1.66; 0.486385;
1.67; 0.486372;
1.68; 0.486358;
1.69; 0.486344;
1.7; 0.486329;
1.71; 0.486315;
1.72; 0.4863;
1.73; 0.486285;
1.74; 0.48627;
1.75; 0.486256;
1.76; 0.486241;
1.77; 0.486226;
1.78; 0.486211;
1.79; 0.486197;
1.8; 0.486182;
1.81; 0.486168;
1.82; 0.486154;
1.83; 0.486141;
1.84; 0.486127;
1.85; 0.486114;
1.86; 0.486102;
1.87; 0.48609;
1.88; 0.486078;
1.89; 0.486067;
1.9; 0.486056;
1.91; 0.486046;
1.92; 0.486036;
1.93; 0.486027;
1.94; 0.486018;
1.95; 0.48601;
1.96; 0.486003;
1.97; 0.485996;
1.98; 0.48599;
1.99; 0.485985;
2; 0.48598;
2.01; 0.485976;
2.02; 0.485972;
2.03; 0.485969;
2.04; 0.485967;
2.05; 0.485965;
2.06; 0.485964;
2.07; 0.485963;
2.08; 0.485963;
2.09; 0.485964;
2.1; 0.485965;
2.11; 0.485966;
2.12; 0.485968;
2.13; 0.485971;
2.14; 0.485974;
2.15; 0.48598;
2.16; 0.485993;
2.17; 0.48603;
2.18; 0.486132;
2.19; 0.486386;
2.2; 0.486932;
2.21; 0.487925;
2.22; 0.489447;
2.23; 0.491431;
2.24; 0.49367;
2.25; 0.495891;
2.26; 0.497842;
2.27; 0.499358;
2.28; 0.500396;
2.29; 0.501015;
2.3; 0.501336;
2.31; 0.501481;
2.32; 0.501539;
2.33; 0.501561;
2.34; 0.50157;
2.35; 0.501574;
2.36; 0.501577;
2.37; 0.50158;
2.38; 0.501582;
2.39; 0.501583;
2.4; 0.501584;
2.41; 0.501584;
2.42; 0.501584;
2.43; 0.501583;
2.44; 0.501582;
2.45; 0.50158;
2.46; 0.501577;
2.47; 0.501574;
2.48; 0.50157;
2.49; 0.501566;
2.5; 0.501561;
2.51; 0.501555;
2.52; 0.501549;
2.53; 0.501542;
2.54; 0.501535;
2.55; 0.501527;
2.56; 0.501518;
2.57; 0.501509;
2.58; 0.501499;
2.59; 0.501488;
2.6; 0.501478;
2.61; 0.501466;
2.62; 0.501454;
2.63; 0.501442;
2.64; 0.501429;
2.65; 0.501416;
2.66; 0.501403;
2.67; 0.501389;
2.68; 0.501375;
2.69; 0.501361;
2.7; 0.501346;
2.71; 0.501331;
2.72; 0.501317;
2.73; 0.501302;
2.74; 0.501287;
2.75; 0.501272;
2.76; 0.501257;
2.77; 0.501242;
2.78; 0.501227;
2.79; 0.501212;
2.8; 0.501198;
2.81; 0.501183;
2.82; 0.501169;
2.83; 0.501155;
2.84; 0.501142;
2.85; 0.501129;
2.86; 0.501116;
2.87; 0.501104;
2.88; 0.501092;
2.89; 0.501081;
2.9; 0.50107;
2.91; 0.501059;
2.92; 0.50105;
2.93; 0.50104;
2.94; 0.501032;
2.95; 0.501024;
2.96; 0.501016;
2.97; 0.501009;
2.98; 0.501003;
2.99; 0.500997;
